Time,Iteration,#Processors
0.00719614,11,13
0.00584389,12,13
0.01654018,13,13
0.00635983,14,13
0.00680806,15,13
0.00586117,16,13
0.00600999,17,13
0.00621627,18,13
0.00717124,19,13
0.00674298,20,13
0.00601349,21,13
0.00632237,22,13
0.00604012,23,13
0.00605536,24,13
0.00607679,25,13
0.00584855,26,13
0.00850083,27,13
0.00607939,28,13
0.00589024,29,13
0.00656708,30,13
0.00616968,31,13
0.00729271,32,13
0.00675671,33,13
0.00824680,34,13
0.00636395,35,13
0.00672391,36,13
0.00619062,37,13
0.00787219,38,13
0.00595326,39,13
0.00652327,40,13
0.00624809,41,13
0.00657638,42,13
0.00647754,43,13
0.00734066,44,13
0.00524739,45,13
0.00556367,46,13
0.00650768,47,13
0.00673527,48,13
0.00683766,49,13
0.00489495,50,13
0.00831123,1,14
0.00691258,2,14
0.00708925,3,14
0.00522989,4,14
0.00515834,5,14
0.00634139,6,14
0.00595202,7,14
0.00641675,8,14
0.00659839,9,14
0.00530267,10,14
0.00634175,11,14
0.00560276,12,14
0.00597695,13,14
0.00604520,14,14
0.00729205,15,14
0.00720907,16,14
0.00729655,17,14
0.00536762,18,14
0.00730543,19,14
0.00595975,20,14
0.00572647,21,14
0.00767654,22,14
0.00623635,23,14
0.00620610,24,14
0.00548935,25,14
0.00567400,26,14
0.00626334,27,14
0.00605403,28,14
0.00622810,29,14
0.00652538,30,14
0.00690816,31,14
0.00580414,32,14
0.00562492,33,14
0.00589923,34,14
0.00588886,35,14
0.00553962,36,14
0.00634987,37,14
0.00627626,38,14
0.00622444,39,14
0.00619284,40,14
0.00716178,41,14
0.00617914,42,14
0.00786597,43,14
0.00623463,44,14
0.00808660,45,14
0.00676646,46,14
0.00730382,47,14
0.00600089,48,14
0.00563427,49,14
0.00703956,50,14
0.00714037,1,15
0.00668337,2,15
0.00664956,3,15
0.00694686,4,15
0.00668866,5,15
0.00597547,6,15
0.00598363,7,15
0.00624762,8,15
0.00552186,9,15
0.00809961,10,15
0.00575907,11,15
0.00609827,12,15
0.00497105,13,15
0.00604391,14,15
0.00646644,15,15
0.00627415,16,15
0.00751985,17,15
0.00581924,18,15
0.00582083,19,15
0.00658057,20,15
